timestamp,message
Timestamp,Message
16:48:1,"{""id"": ""7d80e4e0"",""data"": ""ht120av|70,28,13,21,30,229,0.51,""}"
16:49:2,"{""id"": ""7d80e4e0"",""data"": ""ht120av|71,28,12,20,27,228,0.53,""}"
16:50:2,"{""id"": ""7d80e4e0"",""data"": ""ht120av|71,28,12,20,27,227,0.00,""}"
16:51:2,"{""id"": ""7d80e4e0"",""data"": ""ht120av|71,28,10,16,23,205,0.53,""}"
16:52:2,"{""id"": ""7d80e4e0"",""data"": ""ht120av|70,28,9,15,21,207,0.84,""}"
16:53:3,"{""id"": ""7d80e4e0"",""data"": ""ht120av|70,28,9,15,21,251,0.22,""}"
16:54:3,"{""id"": ""7d80e4e0"",""data"": ""ht120av|70,28,10,16,23,228,0.44,""}"
16:55:3,"{""id"": ""7d80e4e0"",""data"": ""ht120av|70,28,10,16,23,230,0.00,""}"
16:56:4,"{""id"": ""7d80e4e0"",""data"": ""ht120av|70,28,10,16,23,227,0.75,""}"
16:57:4,"{""id"": ""7d80e4e0"",""data"": ""ht120av|70,28,11,19,27,228,0.84,""}"
16:58:4,"{""id"": ""7d80e4e0"",""data"": ""ht120av|69,29,12,18,24,228,0.53,""}"
16:59:5,"{""id"": ""7d80e4e0"",""data"": ""ht120av|69,29,12,18,24,206,0.80,""}"
17:0:5,"{""id"": ""7d80e4e0"",""data"": ""ht120av|69,29,16,23,33,227,0.91,""}"
17:1:5,"{""id"": ""7d80e4e0"",""data"": ""ht120av|69,29,19,29,41,205,0.75,""}"
17:2:6,"{""id"": ""7d80e4e0"",""data"": ""ht120av|69,29,19,29,41,250,0.49,""}"
17:3:6,"{""id"": ""7d80e4e0"",""data"": ""ht120av|69,29,18,26,36,182,0.00,""}"
17:4:6,"{""id"": ""7d80e4e0"",""data"": ""ht120av|69,29,25,38,54,227,0.71,""}"
17:5:6,"{""id"": ""7d80e4e0"",""data"": ""ht120av|69,29,25,38,54,251,0.00,""}"
17:6:7,"{""id"": ""7d80e4e0"",""data"": ""ht120av|69,29,15,22,31,205,0.77,""}"
17:7:7,"{""id"": ""7d80e4e0"",""data"": ""ht120av|69,29,38,55,74,182,0.00,""}"
17:8:7,"{""id"": ""7d80e4e0"",""data"": ""ht120av|69,29,38,55,74,205,0.37,""}"
17:9:8,"{""id"": ""7d80e4e0"",""data"": ""ht120av|69,28,21,33,46,205,0.51,""}"
17:10:8,"{""id"": ""7d80e4e0"",""data"": ""ht120av|70,28,27,38,48,251,0.44,""}"
17:11:8,"{""id"": ""7d80e4e0"",""data"": ""ht120av|70,28,27,38,48,296,0.00,""}"
17:12:8,"{""id"": ""7d80e4e0"",""data"": ""ht120av|71,28,14,21,30,205,0.00,""}"
17:13:9,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,28,31,46,65,228,0.00,""}"
17:14:9,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,31,46,65,182,0.00,""}"
17:15:9,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,8,13,19,230,0.31,""}"
17:16:10,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,205,0.20,""}"
17:17:10,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,228,0.00,""}"
17:18:10,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,10,16,22,205,0.00,""}"
17:19:11,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,10,16,23,227,0.00,""}"
17:20:11,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,10,16,23,205,0.00,""}"
17:21:11,"{""id"": ""7d80e4e0"",""data"": ""ht120av|74,27,9,14,20,182,0.00,""}"
17:22:11,"{""id"": ""7d80e4e0"",""data"": ""ht120av|74,27,7,13,19,227,0.00,""}"
17:23:12,"{""id"": ""7d80e4e0"",""data"": ""ht120av|74,27,7,13,19,182,0.00,""}"
